time (s),thrust (m/s^2),acc (m/s^2),rotation rate (rad/s)
0.51,1.892611897,-0.907418951,-0.330008246
0.52,-0.521147697,-2.717081439,1.62907841
0.53,0.21726287,-1.597226914,-0.11983324
0.54,-0.147526078,0.983075667,0.058518605
0.55,0.629401385,-0.701848783,0.902452745
0.56,-0.556336354,0.33585326,0.097806985
0.57,0.276603023,-0.199970213,0.946292902
0.58,1.059720969,-1.153833443,0.319452772
0.59,-0.257922065,0.67732411,1.410707215
0.6,1.370369871,-0.09693901,0.333046752
0.61,-0.817953535,-0.780046836,0.720899999
0.62,-0.858877786,1.41634856,-0.136332201
0.63,0.155203099,-1.99989222,-0.453869414
0.64,-0.420142582,-1.250341923,1.115969589
0.65,0.369373331,0.034817053,-0.084034599
0.66,-0.217310122,-0.059621944,-0.332120385
0.67,-1.34720347,0.573882994,-0.293073196
0.68,0.436083309,0.01591486,0.202486904
0.69,0.760247456,0.865188121,0.388445494
0.7,-0.592056358,1.678973743,-0.934327101
0.71,-0.816975951,-0.444142465,0.677726814
0.72,0.605457325,-0.843334479,-0.298589285
0.73,0.576160802,-0.155383953,0.322981623
0.74,0.90136273,-0.53218012,0.538050958
0.75,1.012734663,0.475925551,0.35898005
0.76,1.307268413,0.438601789,-0.208328377
0.77,-0.787025604,-1.19418916,-0.920967433
0.78,-0.231380645,-0.095414175,0.404048953
0.79,0.779735575,-0.066256411,-0.002179146
0.8,0.692566505,-0.259338037,0.321701952
0.81,0.868021248,-2.788403338,0.408957582
0.82,-1.110907201,0.671300153,-0.755747263
0.83,1.01153902,1.997124819,0.47236386
0.84,-0.558899172,-0.819639239,-0.41869321
0.85,-0.875059391,-2.366090786,-0.404519636
0.86,-0.121411011,0.04619765,0.526542882
0.87,-0.011366378,-0.768219942,-1.486024754
0.88,0.032485868,0.391601016,1.041004617
0.89,0.103945747,-1.074240749,-0.182802653
0.9,0.453222931,-0.264000638,-0.274342582
0.91,0.517580815,-0.482097969,0.441303174
0.92,0.301568044,1.091613428,0.744281179
0.93,-0.474063597,0.922739651,0.584887819
0.94,0.721635193,0.461219653,-0.556730879
0.95,-1.00376274,0.55739831,0.387027075
0.96,-0.470989194,-0.492540583,-0.703460802
0.97,0.179409605,1.601131005,0.524436982
0.98,0.189845522,-0.2835033,-0.533704402
0.99,1.560895166,0.306352627,-0.863789438
1,0.627300675,-1.140437331,0.891990426
1.01,-0.560196126,1.142061814,0.434638714
1.02,-0.141147804,0.078208369,0.344592677
1.03,0.951554049,-0.332826753,-0.788351626
1.04,-0.839004212,1.608716148,-0.64515733
1.05,-0.609466279,0.276269794,0.232935427
1.06,0.453204702,-0.831881818,-0.24357531
1.07,-1.540729376,-1.340861886,-0.879658058
1.08,1.089574059,-0.491837904,-0.481474598
1.09,-0.285478067,-0.991094976,-0.778184058
1.1,0.779298181,1.524597218,0.246144286
1.11,0.282695323,1.27698114,-0.314513292
1.12,-0.772934861,0.274826125,0.252828505
1.13,0.017988186,1.030404282,-0.659032929
1.14,-0.590864852,0.74803828,-0.59459657
1.15,-0.241356162,-0.931701215,-0.489480559
1.16,-0.140869388,-0.974659624,-0.398051007
1.17,1.624934826,1.23993278,0.576710359
1.18,-0.614092124,0.751167883,0.155590811
1.19,-1.337456279,-0.705657397,1.092623097
1.2,-0.661504547,-2.127362267,0.312733773
1.21,-0.554254259,0.965886118,0.930531606
1.22,0.754144026,0.739705098,-0.405951388
1.23,0.433485134,1.567399804,-0.121612152
1.24,-0.248779728,-2.59131896,-0.598156114
1.25,-0.038958307,0.2684941,-0.03192769
1.26,-1.512745758,-0.579570626,0.129465772
1.27,0.497864225,1.698729492,0.718901777
1.28,-0.120595668,-0.627612545,-0.519450835
1.29,0.300849357,-0.07672204,-0.226865081
1.3,-0.083053449,-1.18230468,0.470402713
1.31,-0.046204014,-0.473822242,0.018847824
1.32,0.541808768,0.855865696,-0.974615255
1.33,0.6314251,-0.193086062,-1.185185891
1.34,0.219074816,0.4911685,-0.618704633
1.35,0.118679383,-1.089268923,-0.782882576
1.36,1.806706552,-1.066294537,-0.614980521
1.37,-0.603829597,-2.650862156,0.225459461
1.38,1.090240714,1.183888024,-0.359101115
1.39,0.720765225,0.054289059,-0.460183444
1.4,-0.59697211,-0.190650291,-0.08386371
1.41,-0.520641661,0.425478267,-0.224535585
1.42,1.342051322,0.334094632,0.293076986
1.43,-0.812514802,-1.103468479,-0.585184572
1.44,-0.927983829,-1.713089118,-0.273361498
1.45,-0.816619774,1.522751452,-0.085434826
1.46,-0.767759638,0.109126758,0.221792066
1.47,0.453023741,0.791348724,-0.762426421
1.48,0.321805368,-0.464289184,0.694608758
1.49,0.270686077,-0.010627194,-0.085533593
1.5,0.445853774,-0.348290287,-0.054056513
1.51,-0.078640258,-0.965860541,-0.302188862
1.52,-0.133164831,-0.069752716,-0.151447767
1.53,1.261112194,0.176639997,0.127253357
1.54,0.486828412,-1.785950353,0.296248432
1.55,-0.954693274,-0.606718801,0.322280902
1.56,0.630489873,1.521240692,1.23518568
1.57,0.405483365,0.183536296,-0.328385707
1.58,1.514476912,-0.301983554,-0.290308306
1.59,-1.605848038,-0.136439747,-0.57750094
1.6,1.303914425,1.041953086,-0.100271189
1.61,1.038294905,-0.208349633,-0.282148122
1.62,0.463857018,-0.290608904,0.23046901
1.63,0.540812742,0.150459312,1.078758421
1.64,0.448976104,0.089155153,0.758193367
1.65,-0.041569743,-0.416214431,0.177195616
1.66,-1.750561922,-1.359064051,-0.269308031
1.67,-1.450813461,1.316669486,0.617361121
1.68,0.736868804,0.500166156,-0.296918649
1.69,0.653675049,1.960812406,-0.724533775
1.7,1.006927796,-0.84005984,0.700885186
1.71,0.350139569,0.550201639,0.066945386
1.72,-0.437438872,0.787976312,0.498840028
1.73,1.892680247,-0.93153459,0.379867919
1.74,-1.518483191,-0.646382383,-0.729333779
1.75,1.115365853,0.305705782,0.314250131
1.76,0.081522557,-0.88774749,-0.192846162
1.77,-0.829648383,-0.771780457,-0.535780446
1.78,-0.195918627,-0.782520523,0.238091655
1.79,0.428113438,0.418721644,0.01775572
1.8,2.011457272,2.336231523,-0.05861793
1.81,0.030143677,0.949942259,-0.585661975
1.82,0.489787084,0.693929278,-0.629660151
1.83,-0.325366687,-0.998214771,-0.1490089
1.84,-0.790110339,-1.144164141,-0.266401382
1.85,0.998897863,-1.823584648,-0.263911913
1.86,-1.558552512,0.281238119,-0.930248094
1.87,1.339583217,-0.260247075,-0.183943287
1.88,-0.334811932,-0.083228711,0.191877533
1.89,-0.228566883,-0.629425777,0.324159332
1.9,0.280234211,1.26739106,-0.744333197
1.91,0.38126237,0.953963449,-0.449824657
1.92,0.517994332,0.928189932,0.031228473
1.93,-1.516544275,-2.180520301,-0.380626354
1.94,0.387189534,-1.524864193,-0.28081917
1.95,0.040145707,-0.590162842,0.215322787
1.96,-0.737578304,-0.347232142,-0.521444748
1.97,1.23496938,-0.521359743,-0.455906067
1.98,-0.113935555,1.052844766,-0.244844075
1.99,-0.442373445,0.192889325,0.721379371
2,1.519983483,-1.09487191,-0.242520797
2.01,-1.39941089,0.255832256,0.037678009
2.02,-0.231450727,0.188476582,0.797315812
2.03,-0.78723837,-0.246058638,0.941538915
2.04,0.202651374,0.222871762,-0.403198891
2.05,0.113686721,-0.575799821,0.342305105
2.06,0.828729661,0.217713968,0.360929954
2.07,0.561329371,0.111701881,0.405003083
2.08,0.174015879,-0.30174585,-0.155994806
2.09,-1.775094111,0.210704169,-0.403817256
2.1,-0.327820035,-1.124341279,0.373372631
2.11,0.511096924,-1.391979531,-0.485257169
2.12,0.751311159,-1.075684734,1.056038149
2.13,-1.301238569,0.138114903,-0.360213794
2.14,-1.606199745,-0.768575516,0.061211733
2.15,-0.456159984,1.404197698,0.76678412
2.16,-1.163665944,-1.142785495,-0.401344354
2.17,-0.489767954,1.20390482,-0.992056133
2.18,1.029661247,-0.88255799,-0.201533979
2.19,-0.776163944,1.506406561,0.172203123
2.2,0.802642343,-1.156920351,-0.158425673
2.21,0.375326551,1.269615384,0.364314782
2.22,-0.225984619,1.424403178,-0.020760934
2.23,1.480535786,-1.171968773,-0.149143445
2.24,-0.149464281,0.143519326,0.057465688
2.25,0.177891568,0.440960255,0.526828092
2.26,-0.955659481,0.593436033,-0.777997832
2.27,-0.217970503,-0.785930684,-1.404383466
2.28,0.183872802,-0.470005187,-0.332758655
2.29,0.136926226,-0.911292095,-0.427713998
2.3,-0.564061379,-1.527634567,-0.398837475
2.31,-1.373821301,0.58195576,-0.60465687
2.32,-0.438420711,-1.205329117,-0.647786945
2.33,0.378071916,1.125270148,0.725238756
2.34,1.290283621,-0.881993764,0.715346216
2.35,0.464610256,0.56839887,-0.168117077
2.36,1.907498772,-0.360910526,0.401508142
2.37,-0.118962488,0.38985841,0.421395462
2.38,-0.094485583,-0.593200165,-0.834866953
2.39,0.14284323,-0.006221617,-0.064616942
2.4,-0.869971788,-0.770568767,-0.441379372
2.41,0.007131184,-1.7026625,-1.051748549
2.42,-0.525306498,0.824544198,-0.826713099
2.43,-0.277545118,0.615964741,-1.321104716
2.44,0.224763449,1.875299935,0.218711863
2.45,0.163196528,-0.273928062,0.101073398
2.46,-0.041208008,-0.204132953,-0.205862662
2.47,-0.041110041,0.434656591,-0.152015053
2.48,0.728730565,-0.587342659,-1.334720843
2.49,0.6810595,-0.586069621,-0.374995216
2.5,-0.943898853,1.95043874,0.950777679
2.51,1.109576414,1.321858785,-0.064701303
2.52,-0.178719559,0.219024981,-0.640790834
2.53,-1.029235882,1.188396849,0.330722542
2.54,-1.412795045,-0.548462739,-0.077311914
2.55,-1.024011326,0.398708081,-0.06695486
2.56,0.785532013,-0.468926885,0.813550137
2.57,-0.446086586,0.585437931,-0.743934982
2.58,1.4244321,0.40604971,-0.010286539
2.59,0.669300705,-1.53841017,-0.760889179
2.6,1.486695397,-1.104210723,0.015875616
2.61,2.084964138,0.721996373,0.045601182
2.62,-1.120912826,1.0235445,0.806569627
2.63,1.634704637,1.455553548,0.041056886
2.64,-0.649846424,-0.675684199,-0.520530408
2.65,0.216370332,-0.060331336,-0.212339245
2.66,0.441320763,0.466178147,0.893841385
2.67,0.111597735,-0.974915167,0.630561572
2.68,0.32060183,0.125833552,0.473701969
2.69,0.057285304,0.894012206,0.670560196
2.7,0.396457982,0.300069878,-0.177641315
2.71,0.539143715,-0.103072844,0.309652422
2.72,0.998658569,-0.003895399,-0.208025775
2.73,1.613280205,1.119265967,-0.693436151
2.74,-0.372879161,0.257815879,0.27723996
2.75,-0.940630303,0.331134203,-0.61845291
2.76,-0.649402223,1.160729372,-0.686626867
2.77,0.407044283,-0.054219803,0.480825251
2.78,-0.081090172,0.281296639,-0.232460508
2.79,0.367116065,-1.726318122,0.950416666
2.8,1.241140578,0.197123008,0.454001307
2.81,1.119785515,0.115175849,-0.516780359
2.82,-0.074632335,1.706296373,0.336010986
2.83,0.066067597,1.003370999,-0.997130542
2.84,1.616934381,0.065285272,0.350070593
2.85,3.049645286,-0.379847483,-0.325675674
2.86,0.66997918,0.082393577,-0.573263266
2.87,1.831565068,-0.285971923,0.396841875
2.88,0.001193008,1.16504768,-0.089784651
2.89,0.877031984,-0.01649526,-0.232939718
2.9,0.489248359,0.813572175,-0.352015121
2.91,-0.165977895,1.021138456,0.405787948
2.92,0.556307211,0.569375182,0.000107464
2.93,0.780538087,0.599013122,-0.132013565
2.94,1.048137634,0.150471605,-0.638314686
2.95,0.743795613,-0.088649036,-0.655896882
2.96,-0.055163883,-1.440146315,-0.654053799
2.97,1.010657872,1.258358321,-0.328394935
2.98,0.075392269,-0.963847118,0.621278266
2.99,0.5271164,2.865426637,-0.955890077
3,1.083495656,0.864557656,-0.244490936
3.01,0.067983815,-0.843292139,-0.352846723
3.02,1.772787002,-0.685171063,-0.029164876
3.03,-0.936870093,-0.814517228,0.16770045
3.04,0.527129876,-0.088419537,-0.401694305
3.05,0.422478794,0.722602541,-0.13472886
3.06,1.145438665,-0.696597821,0.298533918
3.07,0.641437318,1.187393567,0.026492287
3.08,1.17649836,0.554285137,0.686484314
3.09,0.526926155,0.483954609,0.351885777
3.1,1.153218921,0.913656603,-0.818523045
3.11,0.492444737,-0.242774126,-0.151164169
3.12,-0.74146511,-1.345534202,-0.303446683
3.13,-0.158203226,0.151686365,0.696821425
3.14,0.153542705,0.421541766,0.015462861
3.15,-1.015296175,0.443692615,1.1579612
3.16,2.269493782,0.970650475,-0.104514658
3.17,1.226516506,-0.318789453,0.189999403
3.18,-0.574864947,0.211602245,0.653173712
3.19,0.205367705,-0.388728167,-0.763126117
3.2,0.889799364,0.260037641,-0.863916153
3.21,1.014918351,-0.760323781,-0.200279066
3.22,1.7804794,-1.573150452,0.635941781
3.23,1.411747607,1.046963101,0.666858316
3.24,1.067935927,-0.438555196,0.712455511
3.25,0.755395033,-1.943000377,-0.092996448
3.26,1.167099979,-1.091581147,0.207861458
3.27,0.356617401,-1.121773979,-0.560962422
3.28,0.089028352,0.80360686,-0.285112376
3.29,1.230787991,0.818478395,-0.167465504
3.3,0.113225148,0.813924882,-0.595286509
3.31,0.429790919,0.214073505,-0.416489619
3.32,-0.013747828,-1.299238144,0.046999024
3.33,0.527245669,0.590668458,-0.591578599
3.34,0.208331989,-0.765635763,0.925073488
3.35,0.653179061,-0.916161838,0.366371873
3.36,0.791303727,-1.200840437,-0.605423872
3.37,0.770300905,0.119457668,0.306972987
3.38,0.876257919,-0.751087102,0.475499344
3.39,0.528958239,-0.360795566,-0.60321558
3.4,0.207179805,-0.096163713,-0.306360908
3.41,0.532505862,0.821323659,0.049427327
3.42,0.486523057,-0.820173091,-0.2824393
3.43,0.918189691,0.373292505,-0.2199216
3.44,0.626801869,-1.586811923,-0.313502386
3.45,1.444191923,-1.221554978,0.418493841
3.46,2.386281501,-1.043599662,-0.681105288
3.47,1.58568305,0.988054151,-0.182387028
3.48,-0.189033564,0.452313546,0.443324993
3.49,0.785066646,-1.560694626,1.267109002
3.5,0.265357932,-0.879410296,0.115573149
3.51,0.561332457,0.389991895,0.633615783
3.52,1.267778668,-0.722090995,0.006131601
3.53,0.05642221,-0.238547166,-0.161542779
3.54,1.968017754,-0.075741438,-0.338754845
3.55,1.803304631,-0.729825321,-0.371435487
3.56,-1.15160169,-0.389037258,-0.191419603
3.57,1.418570173,1.35901274,-0.818261466
3.58,1.667806013,0.649735594,0.224331309
3.59,2.933409835,-1.442782654,-0.817144768
3.6,1.49038793,1.678784769,-0.365997767
3.61,-0.897030968,-0.865190831,-0.920775455
3.62,-0.010239793,0.664943945,0.251328332
3.63,1.208898518,-2.136899019,-0.288403431
3.64,1.866126891,-1.36209919,0.371609302
3.65,0.127268324,0.107401952,0.135830713
3.66,1.193638089,-1.532368288,-0.240791309
3.67,1.991615679,0.768835917,-1.298893795
3.68,0.844400866,1.585295256,-0.952896217
3.69,0.363759458,0.433046338,-0.363269027
3.7,0.342178213,-0.011208957,0.184258006
3.71,0.796731543,0.558971367,-0.786366897
3.72,1.920710088,-1.429968833,-0.889546107
3.73,0.046121628,0.576355948,-0.802052866
3.74,1.169921702,0.917038234,0.103685735
3.75,0.228440055,1.329449648,-0.178893458
3.76,0.883738586,-0.541329243,0.004103423
3.77,-0.3532451,0.058170609,-0.690017402
3.78,2.246063226,-0.713373413,-0.192453198
3.79,0.47484308,-0.146372434,-0.331892859
3.8,1.792519779,0.400032714,-1.09420892
3.81,1.124363724,-1.400504381,-0.175315884
3.82,-0.307593079,0.461319406,0.610045967
3.83,1.256612568,-0.031264255,-0.140320675
3.84,2.392406589,-0.123833549,-0.487255639
3.85,1.994158969,-1.01362974,-0.167362778
3.86,-0.594870254,0.650069386,0.390592389
3.87,2.446399014,-0.37193705,-0.64748539
3.88,0.521282664,0.5335308,0.345974121
3.89,0.507625131,0.699652529,0.440817699
3.9,0.586096377,-0.093186957,0.505881134
3.91,-0.60820615,-0.005755369,-0.237736653
3.92,0.821855076,0.139454277,0.13543303
3.93,0.729619457,-0.951880018,0.449070612
3.94,0.002561761,0.834995508,-0.185117223
3.95,-0.728346349,-0.132028209,1.129677463
3.96,1.965761509,-0.846303273,0.300069974
3.97,-0.799738616,-1.751259989,-0.608438824
3.98,1.794731559,0.838951863,-0.508135673
3.99,0.614387128,-0.424190296,-0.244928941
4,2.150666871,0.693309222,-0.227150619
4.01,1.744197365,0.49574047,-0.003932426
4.02,0.084245924,-0.201722655,-0.400188442
4.03,1.658923,0.124136139,-1.14744776
4.04,2.325081297,-0.899951294,-0.063873956
4.05,0.652888125,0.664918389,-0.282215226
4.06,0.803902783,-0.983987497,0.408223048
4.07,2.028670903,-0.536063548,-0.581603448
4.08,0.344604001,-0.283656501,0.042041287
4.09,0.818063203,0.387404077,-0.2449157
4.1,-0.166680923,0.152469515,0.258346714
4.11,2.973523207,-0.531773691,-0.175656672
4.12,1.883829399,-0.358278525,-0.243305024
4.13,1.713881637,1.371247054,0.199805999
4.14,1.12866573,0.87017094,-0.406726791
4.15,1.004527205,1.010380737,0.594102805
4.16,-0.244540683,-0.803347228,-0.107580834
4.17,0.290222983,-0.262262332,0.290189946
4.18,1.067148929,-1.047918746,-0.932172765
4.19,0.77910395,-1.064298614,-0.391729688
4.2,0.328467999,-0.523785575,0.43036068
4.21,1.773145681,-1.872176203,0.870962072
4.22,-0.337673115,0.227886015,-0.268097898
4.23,-0.202853523,-1.026832181,-0.521509381
4.24,0.921328559,-1.972432974,0.201014419
4.25,0.944219871,-0.559347712,0.304807004
4.26,-0.389440137,0.043828095,-0.779484238
4.27,0.498518769,-1.951740479,0.294705531
4.28,0.358599436,0.426112567,-0.466564009
4.29,1.639966717,-0.108985754,0.336532721
4.3,0.458048322,-0.209608199,0.189274023
4.31,0.131254983,0.134300871,0.213703357
4.32,1.415218414,0.441481217,0.212728144
4.33,0.352234226,1.608291484,0.039757548
4.34,1.93694422,0.218467478,0.10670878
4.35,2.032478655,-0.232295705,-0.271679734
4.36,0.423780874,-0.27217706,0.340566415
4.37,0.291607555,-2.182597215,-0.286753875
4.38,1.522591006,-1.152307144,-0.405015601
4.39,1.571975801,0.90878598,-0.077954785
4.4,1.19559611,2.411458671,0.776833248
4.41,1.087357858,0.615450484,-0.67986374
4.42,1.689685512,0.021171703,1.022272079
4.43,2.148481557,0.934426733,0.107122525
4.44,-0.174468406,0.528817591,-0.052458469
4.45,-0.72054294,-0.314230146,0.189584024
4.46,2.435786455,-1.632709634,-0.252380164
4.47,3.337711186,-0.513442571,0.3409687
4.48,0.478884651,-0.267799516,0.397389975
4.49,1.476285218,0.311036353,-0.750180883
4.5,3.117198724,-0.921672962,0.024292434
4.51,1.649284985,-1.900860994,-0.260831374
4.52,0.458806161,-0.397994173,-0.616317873
4.53,1.205806453,-0.31926055,0.122271252
4.54,1.465545563,0.478552804,0.155352765
4.55,0.666838869,-0.473374519,-0.645707179
4.56,1.282220466,-1.293154691,-0.71325335
4.57,0.709752123,0.651750469,0.204103167
4.58,0.064794671,0.372239193,-0.323569306
4.59,2.17536452,0.025569894,-0.390536444
4.6,-0.329705282,0.352674443,-0.183704469
4.61,0.815992795,-0.531268536,-0.979192175
4.62,1.137110368,0.752994018,-0.168854241
4.63,1.652718907,0.560353547,0.093204446
4.64,1.718550425,0.018339583,0.603504374
4.65,3.214200615,-0.440762467,-0.589765835
4.66,-0.690811453,-0.855178325,0.204356269
4.67,2.720371066,0.695341597,-0.75458817
4.68,-1.11299611,-0.380262866,-0.501579176
4.69,-0.884368816,0.37847677,0.298872725
4.7,2.560034415,-0.020253199,-0.038504502
4.71,0.475835211,2.293041562,0.302916602
4.72,1.896919668,0.204678081,-0.152799707
4.73,-0.317421097,-0.812892604,-0.311298301
4.74,1.022508468,0.122931059,-0.495137512
4.75,0.757262443,-0.545870118,-0.302606469
4.76,-0.669532476,-0.031270599,0.157364448
4.77,1.487315615,0.446006179,-1.211154693
4.78,2.282416075,-1.028810198,0.077600724
4.79,0.325335305,1.762745547,-0.515106842
4.8,0.763629062,-0.896449083,-0.891911346
4.81,-0.75181337,-1.926557187,-0.198621927
4.82,0.829411707,-0.487355117,-0.688767462
4.83,-1.083875226,-1.07324443,-0.497157815
4.84,0.568297872,-0.469122421,-0.427974896
4.85,-0.069047085,-0.116267313,-0.052718763
4.86,0.78100465,1.380889821,0.44055724
4.87,0.493100519,-0.614100356,-1.038767222
4.88,0.779470932,1.223737339,0.243958103
4.89,0.228835282,-1.245026591,0.174386126
4.9,0.85212982,0.656084427,-0.450853706
4.91,0.242953348,-0.902218871,-0.724103622
4.92,0.836646931,-0.181872531,0.711819391
4.93,1.506485881,-1.950768227,0.433794399
4.94,1.121105166,0.11901483,-0.020177599
4.95,1.60225122,0.181574871,-0.175624607
4.96,-0.024287797,-1.568237213,-0.818701366
4.97,0.988595974,-0.386190268,0.140154682
4.98,1.835680017,1.133763022,0.047312645
4.99,1.453793701,0.537203063,-0.426437506
5,0.483218351,-0.001107376,-0.092664815
5.01,0.815365542,1.093384645,-0.768884753
5.02,-0.2099687,-0.827507237,-0.664026904
5.03,0.93662412,-1.792235973,0.525483546
5.04,-0.327082867,-0.681829174,0.092701493
5.05,1.945938638,0.621412343,-0.232352385
5.06,-0.11526449,0.67721073,-0.114240976
5.07,2.232463236,-0.557146773,-0.260376349
5.08,2.456075748,0.45376918,1.166209829
5.09,2.552691668,-0.09472176,-0.547604291
5.1,0.959414866,-0.958938338,0.257568349
5.11,0.864377752,0.318374302,-0.150895095
5.12,-0.117152047,-0.824351659,-0.31301665
5.13,0.319727798,0.583822982,-0.422766845
5.14,0.231187203,-2.916405188,0.933457096
5.15,0.298892375,-0.599834211,0.20447789
5.16,-0.835156596,0.2968448,-0.519902352
5.17,2.029864505,0.386379123,-0.312861667
5.18,0.059205622,-0.854319646,-0.655263969
5.19,1.85287168,0.375229639,0.490838876
5.2,0.028136491,-1.040432412,-0.213867054
5.21,2.151583688,-1.539949089,-0.657166358
5.22,1.080318484,0.301347665,0.089723611
5.23,-0.864291209,1.060516733,0.411037376
5.24,2.486688954,-0.912768344,1.20024511
5.25,1.614033315,-2.202404933,-0.362494366
5.26,0.39197614,-0.419624083,0.260744002
5.27,0.995283099,-1.626978088,0.03261417
5.28,2.353888448,0.218019367,0.315810243
5.29,-0.063222612,0.951360591,0.242367635
5.3,-0.398761881,0.445690113,0.085445454
5.31,1.241859967,-0.1015389,-0.540031915
5.32,0.107669013,-0.807974985,0.296906228
5.33,0.932827764,-0.442787219,-1.274230642
5.34,0.611973891,0.817640596,-0.238031198
5.35,0.146351964,-0.110778651,0.182944931
5.36,0.502153522,-0.011365318,0.24798838
5.37,0.121178645,-0.824878144,-0.255398472
5.38,0.700493806,-1.008281168,-1.041687589
5.39,-0.301224243,0.905226184,-0.181379438
5.4,0.036827064,-0.99602999,-0.816797813
5.41,1.650427035,-0.331725538,0.120061366
5.42,-0.813573879,0.447188349,-0.498694956
5.43,1.625127362,-0.575436988,0.410883616
5.44,-1.120554103,0.120411371,-0.2537765
5.45,1.851737673,-0.807288919,0.044599945
5.46,1.152205549,-1.18260792,-0.157342182
5.47,0.82239594,0.352842308,-1.388411086
5.48,1.583243561,-0.631175286,-0.068150266
5.49,0.444908016,-1.829615382,0.178477976
5.5,0.736552141,-0.611500811,0.1875073
5.51,0.84782302,-1.450585992,0.069520485
5.52,0.381984011,-2.586753282,-0.540646685
5.53,0.29941765,-1.302199435,-0.207162092
5.54,1.801773791,-0.904538128,-0.556738115
5.55,0.293997782,-0.774198535,0.455805576
5.56,-0.051125663,0.926220226,0.007211063
5.57,1.070875425,-0.428804916,-0.664081459
5.58,1.01261957,0.695484339,0.141797744
5.59,0.653281726,0.005820273,0.33772372
5.6,-1.158416944,-0.96749949,-0.312439818
5.61,-0.186246099,-1.373028755,0.292940606
5.62,0.879509698,-0.700744674,-0.319633218
5.63,0.933674633,0.807070933,-0.301912632
5.64,1.627858692,0.236411294,-0.883205046
5.65,0.321537798,1.640389974,-0.302540987
5.66,0.731324748,-0.713909748,-0.160015154
5.67,1.868543044,-1.425584751,-0.120252653
5.68,1.546253858,0.126179415,-0.128323672
5.69,2.14185804,-2.117247384,0.001703028
5.7,2.267351161,-1.341491524,-0.639151595
5.71,-0.264739823,0.316677507,-0.986375977
5.72,0.763918145,-0.294242437,0.42929449
5.73,1.410353443,0.214007719,0.424671346
5.74,1.882049547,-1.026974423,-0.498316547
5.75,0.072906689,-0.919112578,0.464349942
5.76,-0.949666888,-1.074497593,-0.147806875
5.77,-0.312095738,-0.100200685,0.537836174
5.78,0.17635817,-0.774566519,-0.025197764
5.79,0.010003722,0.201753343,-1.026282764
5.8,2.040966571,0.690043045,-0.665710935
5.81,0.966428768,1.699570083,0.390691864
5.82,1.782467395,0.648051005,0.000546094
5.83,1.219354423,-0.122791165,-0.099948912
5.84,1.339015528,-2.016122067,-0.369039486
5.85,-1.750028645,-0.45477881,-0.111486844
5.86,0.40611032,0.009702474,-0.634850049
5.87,-0.240587496,-1.411182,0.076043897
5.88,2.089429214,0.04406464,-0.331346529
5.89,1.988451141,-2.036980969,0.812966139
5.9,0.38047076,-0.575196519,0.635983404
5.91,3.10989761,-0.500338481,-0.857200649
5.92,1.207940048,0.464988429,0.089193242
5.93,0.584484816,-0.825094864,-0.192035806
5.94,-0.873850808,0.24729684,0.552890759
